,0,107,1912
louvain,"{'modularity': 0.46300328696822773, 'n_communities': 15, 'clustering_coefficient': 0.5082445417696639, 'density': 0.5782789534793766, 'conductance': 0.5320286555820408, 'community_clustering_coefficient': 0.49021941109649697}","{'modularity': 0.5392478724387144, 'n_communities': 8, 'clustering_coefficient': 0.5264047980773336, 'density': 0.40610606319073755, 'conductance': 0.40244322770919316, 'community_clustering_coefficient': 0.6793288336616957}","{'modularity': 0.5282451190757632, 'n_communities': 6, 'clustering_coefficient': 0.635404645118039, 'density': 0.45623329550210007, 'conductance': 0.1736427370001795, 'community_clustering_coefficient': 0.5724169597788237}"
palla,"{'modularity': 0.008340817803746748, 'n_communities': 3, 'clustering_coefficient': 0.5082445417696639, 'density': 0.6818043684710352, 'conductance': 6.46061619963753, 'community_clustering_coefficient': 0.8347708782324639}",,
node2vec,"{'()8,10)': {'modularity': 0.005096873132986446, 'n_communities': 15, 'clustering_coefficient': 0.5082445417696639, 'density': 0.05472912977229772, 'conductance': 44.24161192871595, 'community_clustering_coefficient': 0.07438992139640269}, '()8,30)': {'modularity': -0.00039532817754582377, 'n_communities': 15, 'clustering_coefficient': 0.5082445417696639, 'density': 0.16244712258135074, 'conductance': 24.463935159043853, 'community_clustering_coefficient': 0.07713386561658496}, '()8,50)': {'modularity': 0.002008396370198632, 'n_communities': 15, 'clustering_coefficient': 0.5082445417696639, 'density': 0.02847511225822856, 'conductance': 38.317706342951105, 'community_clustering_coefficient': 0.08661813574824295}, '()32,10)': {'modularity': -0.00695043197699862, 'n_communities': 15, 'clustering_coefficient': 0.5082445417696639, 'density': 0.05284432957153052, 'conductance': 53.16856122663306, 'community_clustering_coefficient': 0.05833350089140989}, '()32,30)': {'modularity': -0.004376504347034024, 'n_communities': 15, 'clustering_coefficient': 0.5082445417696639, 'density': 0.07216586074912092, 'conductance': 40.07143749714338, 'community_clustering_coefficient': 0.07314300711322205}, '()32,50)': {'modularity': -0.011563093100613177, 'n_communities': 15, 'clustering_coefficient': 0.5082445417696639, 'density': 0.04571076277327033, 'conductance': 30.951087040443266, 'community_clustering_coefficient': 0.1250228381594756}, '()64,10)': {'modularity': -0.0020880608684044214, 'n_communities': 15, 'clustering_coefficient': 0.5082445417696639, 'density': 0.03146978311589317, 'conductance': 25.77679098679099, 'community_clustering_coefficient': 0.07681119207098457}, '()64,30)': {'modularity': -0.00752502497493839, 'n_communities': 15, 'clustering_coefficient': 0.5082445417696639, 'density': 0.03631506036887556, 'conductance': 53.08776649777692, 'community_clustering_coefficient': 0.07923328596560683}, '()64,50)': {'modularity': 0.0005453590426139297, 'n_communities': 15, 'clustering_coefficient': 0.5082445417696639, 'density': 0.027978765173009783, 'conductance': 25.440757808499747, 'community_clustering_coefficient': 0.08117468499200661}}","{'()8,10)': {'modularity': -0.0006610433961542736, 'n_communities': 8, 'clustering_coefficient': 0.5264047980773336, 'density': 0.08191614741352728, 'conductance': 27.14737626218543, 'community_clustering_coefficient': 0.37784545443191214}, '()8,30)': {'modularity': 0.004744543388350714, 'n_communities': 8, 'clustering_coefficient': 0.5264047980773336, 'density': 0.03940991380942757, 'conductance': 20.014097530044808, 'community_clustering_coefficient': 0.2994436833686279}, '()8,50)': {'modularity': 0.009661863778566239, 'n_communities': 8, 'clustering_coefficient': 0.5264047980773336, 'density': 0.06025497952313359, 'conductance': 33.272315946923754, 'community_clustering_coefficient': 0.3399461033244373}, '()32,10)': {'modularity': 0.005134435758132395, 'n_communities': 8, 'clustering_coefficient': 0.5264047980773336, 'density': 0.04690812680755574, 'conductance': 22.94706109197275, 'community_clustering_coefficient': 0.36275666745833646}, '()32,30)': {'modularity': 0.011967458813281937, 'n_communities': 8, 'clustering_coefficient': 0.5264047980773336, 'density': 0.0462816751169752, 'conductance': 33.28041406977208, 'community_clustering_coefficient': 0.3341911959047188}, '()32,50)': {'modularity': 0.008478212701058653, 'n_communities': 8, 'clustering_coefficient': 0.5264047980773336, 'density': 0.051505890772613076, 'conductance': 31.688028862551832, 'community_clustering_coefficient': 0.30503782255852047}, '()64,10)': {'modularity': 0.0032086032415964277, 'n_communities': 8, 'clustering_coefficient': 0.5264047980773336, 'density': 0.04922096500695146, 'conductance': 24.35428406938285, 'community_clustering_coefficient': 0.34377980103157485}, '()64,30)': {'modularity': 0.007434628345087693, 'n_communities': 8, 'clustering_coefficient': 0.5264047980773336, 'density': 0.046822922211851734, 'conductance': 28.89524913527054, 'community_clustering_coefficient': 0.3037563850271802}, '()64,50)': {'modularity': 0.005474385359968352, 'n_communities': 8, 'clustering_coefficient': 0.5264047980773336, 'density': 0.038869569504557534, 'conductance': 26.34531939778509, 'community_clustering_coefficient': 0.3011875724175002}}","{'()8,10)': {'modularity': -0.00145988029681063, 'n_communities': 6, 'clustering_coefficient': 0.635404645118039, 'density': 0.13244441288590458, 'conductance': 94.6995133724533, 'community_clustering_coefficient': 0.38554655356865575}, '()8,30)': {'modularity': 0.004596246952130526, 'n_communities': 6, 'clustering_coefficient': 0.635404645118039, 'density': 0.09148801912288702, 'conductance': 22.12583536324597, 'community_clustering_coefficient': 0.46310179690803627}, '()8,50)': {'modularity': 0.00296410887125008, 'n_communities': 6, 'clustering_coefficient': 0.635404645118039, 'density': 0.07932269461021606, 'conductance': 18.032341697493372, 'community_clustering_coefficient': 0.3761850470373493}, '()32,10)': {'modularity': 0.0005119924348360835, 'n_communities': 6, 'clustering_coefficient': 0.635404645118039, 'density': 0.09250819329704708, 'conductance': 31.637651235595452, 'community_clustering_coefficient': 0.4409011279743181}, '()32,30)': {'modularity': 0.004817780908360451, 'n_communities': 6, 'clustering_coefficient': 0.635404645118039, 'density': 0.09106900122805245, 'conductance': 24.527947464755943, 'community_clustering_coefficient': 0.4624615873349713}, '()32,50)': {'modularity': 0.004257238313062725, 'n_communities': 6, 'clustering_coefficient': 0.635404645118039, 'density': 0.1329321435872506, 'conductance': 73.29324031250907, 'community_clustering_coefficient': 0.3741606576238363}, '()64,10)': {'modularity': 0.0025107802892538273, 'n_communities': 6, 'clustering_coefficient': 0.635404645118039, 'density': 0.09726625186309336, 'conductance': 20.723244021627995, 'community_clustering_coefficient': 0.4758164331942343}, '()64,30)': {'modularity': -0.001491298466931159, 'n_communities': 6, 'clustering_coefficient': 0.635404645118039, 'density': 0.08217159149028692, 'conductance': 41.055685869218095, 'community_clustering_coefficient': 0.40358994621024413}, '()64,50)': {'modularity': 0.007704538197075585, 'n_communities': 6, 'clustering_coefficient': 0.635404645118039, 'density': 0.08424960694666887, 'conductance': 15.762679847995722, 'community_clustering_coefficient': 0.4053749966281585}}"
